a 呀
munagai 靳
munagai 鞅
munagi 棼
munakake 帴
munamoto 肓
munashi 懬
munashii 奅
munashii 婁
munashii 廖
munashii 廫
munashii 忐
munashii 忑
munashii 昿
munashii 曠
munashii 桍
munashii 椌
munashii 盅
munashii 磬
munashii 穅
munashii 罄
munashii 虗
munashii 虚
munashii 虛
mune 匈
mune 宗
mune 廔
mune 旨
mune 棟
mune 極
mune 橦
mune 檼
mune 欐
mune 胸
mune 膺
mune 臆
munenouchi 膈
muneoutsu 擗
mura 党
mura 塢
mura 村
mura 邑
mura 邨
mura 閭
mura 闒
mura 黨
muragari 鬰
muragaru 叢
muragaru 樷
muragaru 簇
muragaru 羣
muragaru 群
muragaru 茽
muragaru 藂
murasaki 紫
murasaki 茈
murasaki 藐
murasu 蒸
murazato 庄
murazato 邨
mureiru 宭
mureru 羣
mureru 群
muro 室
muro 榁
muro 窩
muroaji 鰘
musaborioshimu 恈
musaboru 亄
musaboru 啉
musaboru 嘬
musaboru 嘾
musaboru 嚂
musaboru 婪
musaboru 嬠
musaboru 忨
musaboru 惏
musaboru 慾
musaboru 懆
musaboru 懢
musaboru 牟
musaboru 貪
musaboru 饕
musaboru 饞
musaborusama 妋
musasabi 鼫
musasabi 鼯
musasabi 鼺
musebu 侅
musebu 僾
musebu 呦
musebu 哇
musebu 哽
musebu 唈
musebu 嗢
musebu 噎
musebu 噰
musebu 嚘
musebu 旡
musebu 胭
musebu 饐
museru 嗆
mushi 禹
mushi 虫
mushi 蟲
mushiatsui 溽
mushiba 齲
mushibamu 蝕
mushimeshi 餴
mushimochi 飩
mushiritoru 挘
mushiro 兹
mushiro 寍
mushiro 寕
mushiro 寜
mushiro 寧
mushiro 席
mushiro 玆
mushiro 筵
mushiro 茲
mushiro 莚
mushiro 莞
mushiro 蒻
mushiro 蓆
mushiru 挘
mushiru 毟
mushiru 毮
musouami 罿
musu 烝
musu 糦
musu 蒸
musu 餴
musu 餾
musu 饙
musubi 結
musubi 閇
musubime 綮
musubu 紈
musubu 結
musubu 締
musuhu 紒
musume 女
musume 娘
musume 嬢
musume 孃
musumemuko 伕
mutabi 六
mutenyuumu 銠
mutsu 六
mutsu 鯥
mutsu 鱫
mutsubu 噰
mutsubu 睦
mutsukashii 礥
mutsuki 帴
mutsuki 緥
mutsuki 繈
mutsuki 繦
mutsuki 襁
mutsumajii 睦
mutsutsurisuru 婩
mutsuyubi 跂
muzukashii 難
myaku 脉
na 名
na 菜
na 蔌
nabe 銚
nabe 錥
nabe 鍋
nabe 鎬
nabe 鐎
nabe 鐺
nabe 鑃
nabebuta 亠
nabezumi 黬
nabiku 匽
nabiku 旖
nabiku 靡
naburu 嫐
naburu 嬲
naburu 揄
nada 洋
nada 灘
nadameru 宥
naderu 抿
naderu 拊
naderu 捫
naderu 捬
naderu 撫
naderu 敉
nado 抔
nado 朩
nado 等
nae 秧
nae 苗
naeru 痿
naeru 萎
nagaai 镸
nagaame 滈
nagaame 霖
nagae 轅
nagaeshiha 轆
nagai 倰
nagai 兏
nagai 昶
nagai 曼
nagai 永
nagai 猗
nagai 畼
nagai 縯
nagai 脩
nagai 覃
nagai 長
nagai 镹
nagai 隑
nagai 餑
nagai 駿
nagaibari 鉥
nagaikoromo 幱
nagaisama 僺
nagajuban 襡
nagame 眺
nagameru 眺
nagameru 詠
nagara 乍
nagare 流
nagare 瀰
nagare 瀷
nagareru 乁
nagareru 垘
nagareru 汩
nagareru 汭
nagareru 沇
nagareru 泌
nagareru 泫
nagareru 流
nagareru 湝
nagareru 滮
nagareru 漦
nagareru 瀠
nagareru 瀰
nagareru 灤
nagareru 磷
nagasa 袤
nagashi 庎
nagashime 眄
nagashime 眤
nagashime 睥
nagashime 瞯
nagasu 流
nagawazu 痼
nageki 嘆
nageku 偯
nageku 唈
nageku 唌
nageku 唏
nageku 喂
nageku 嗞
nageku 嗟
nageku 嗺
nageku 嘁
nageku 嘅
nageku 嘆
nageku 嚘
nageku 忼
nageku 惋
nageku 慟
nageku 慨
nageku 欷
nageku 欸
nageku 歎
nageru 投
nageru 沰
nageutsu 丟
nageutsu 丢
nageutsu 抛
nageutsu 拋
nageutsu 搥
nageutsu 擲
nageutsu 攛
nagi 凪
nagi 彅
nagi 梛
nagi 椥
nagisa 汀
nagisa 沚
nagisa 渚
nagisa 澰
nagokasu 摝
nagomu 和
nagoyaka 和
nagu 凪
nagu 薙
naguru 擲
naguru 殴
naguru 毆
nagusameru 慰
nagusami 慰
nagusamu 慰
nahoi 侗
nahoi 俓
nai 亡
nai 亾
nai 兦
nai 微
nai 无
nai 毋
nai 無
nai 罔
nai 莫
nai 蔑
nai 靡
naigashiro 蔑
najimu 偎
najiru 詰
naka 中
naka 仲
nakaba 半
nakaba 央
nakabasuru 半
nakadaka 隆
nakagai 儈
nakama 党
nakama 黨
nakare 勿
nakare 毋
nakare 無
nakare 莫
naki 泣
nakigoe 喤
nakigoe 嘠
nakihaha 妣
nakisa 坻
nakoudo 妁
nakoudo 媒
naku 吟
naku 呃
naku 咷
naku 哭
naku 唳
naku 唴
naku 唶
naku 啼
naku 啾
naku 嗁
naku 嘑
naku 噭
naku 嚶
naku 泣
naku 涕
naku 鳴
naku 鷕
nakunaru 亡
nakunaru 亾
namagane 鍒
namagusa 葷
namagusa 鮏
namagusai 羴
namagusai 羶
namagusai 腥
namagusai 鮏
namagusai 鯹
namajiini 慭
namajiini 憖
namajiini 憗
namakeru 寙
namakeru 怠
namakeru 陏
namakeru 隋
namamekashii 嬌
namamekashii 嬼
namamekashii 艶
namamekashii 艷
namamekashii 豓
namamekashii 豔
namameku 妖
namari 訛
namari 譌
namari 鈆
namari 鉛
namaru 訛
namaru 譌
namasu 膾
namasu 韲
namasu 鱠
namasu 鲙
namasu 齏
namazu 癜
namazu 鮀
namazu 鮎
namazu 鮧
namazu 鮷
namazu 鯰
namazu 鯷
namazu 鰋
namekuji 蛞
nameraka 冭
nameraka 捸
nameraka 滑
nameraka 达
nameru 呫
nameru 哾
nameru 啛
nameru 嗒
nameru 嘗
nameru 嚌
nameru 嚐
nameru 甞
nameru 舐
nameru 舓
nameru 舔
nameshigawa 靼
nameshigawa 鞣
nameshigawa 韋
nametoru 舏
nami 並
nami 傡
nami 波
nami 浪
nami 涛
nami 漛
nami 漪
nami 濤
nami 瀾
nami 灎
nami 灔
nami 灧
nami 灩
nami 竝
namida 泪
namida 涕
namida 涙
namida 淚
naname 斜
naname 迆
naname 迤
naname 陁
nanameniyuku 踷
nanamenosama 陁
nanatabi 七
nanatsu 七
nani 何
nani 啥
nani 曷
nani 甚
nani 那
nanji 你
nanji 倷
nanji 尒
nanji 尓
nanji 尔
nanji 汝
nanji 爾
nannantosu 垂
nannantosu 埀
nanoru 名
nanzo 何
nanzo 啥
nanzo 奚
nanzo 害
nanzo 寕
nanzo 寜
nanzo 寧
nanzo 底
nanzo 曷
nanzo 渠
nanzo 瑕
nanzo 盍
nanzo 胡
nanzo 詎
nanzo 遐
nanzo 那
nao 仍
nao 犹
nao 猶
naoi 侹
naoi 直
naoi 矗
naoi 縮
naoru 治
naosu 直
nara 枹
nara 楢
naraberu 並
naraberu 傡
naraberu 方
naraberu 枇
naraberu 比
naraberu 竝
naraberu 配
narabi 竝
narabini 並
narabini 傡
narabitatsu 乑
narabu 伉
narabu 佖
narabu 佴
narabu 併
narabu 佽
narabu 倂
narabu 傡
narabu 儷
narabu 双
narabu 坌
narabu 姷
narabu 对
narabu 対
narabu 對
narabu 并
narabu 幷
narabu 比
narabu 秝
narabu 輌
narabu 輛
narabu 配
narabu 雙
narabu 駢
narabu 騈
narabu 麗
narai 習
narasu 慣
narasu 櫌
narasu 耰
narasu 馴
narasu 鳴
narau 仿
narau 俲
narau 倣
narau 傚
narau 僓
narau 効
narau 忲
narau 摜
narau 狃
narau 眆
narau 習
narau 肄
narau 臹
narau 閑
narawashi 俗
narawashi 慣
nareru 奕
nareru 媟
nareru 慣
nareru 狃
nareru 狎
nareru 褻
nareru 遦
nareru 馴
nareshika 麋
nari 也
naru 侀
naru 成
naru 裍
naru 造
naru 鳴
naruhajikami 茮
nasake 情
nashi 勿
nashi 梨
nasu 作
nasu 做
nasu 卬
nasu 成
nasu 為
nasu 爲
nasu 茄
nata 屶
nata 鉈
natsu 夏
natsu 夓
natsu 螓
natsu 螗
natsuku 懐
natsuku 懷
natsume 棗
natsume 樲
natsume 艻
nau 綯
nau 绹
nauzuru 匘
nawa 紉
nawa 索
nawa 綯
nawa 緡
nawa 縄
nawa 繩
nawa 纆
nawa 纒
nawa 绹
nawate 畷
nayamaseru 悩
nayami 囏
nayami 悩
nayami 阸
nayamu 儜
nayamu 墊
nayamu 嫪
nayamu 嬈
nayamu 悩
nayamu 惱
nayamu 憹
nayamu 懊
nayamu 艱
nayamu 訒
nayamu 蹇
nazo 謎
nazo 讔
nazoraeru 儗
nazoraeru 准
nazoraeru 擬
nazukeru 名
nazukeru 詺
nazumu 泥
nazuna 萕
nazuna 薺
ne 値
ne 值
ne 柢
ne 根
ne 桗
ne 楴
ne 氒
ne 茇
ne 荄
ne 音
nebaritsuku 溓
nebaru 粘
nebaru 黏
nebatsuchi 墐
neburu 咶
neburu 舓
nedai 壛
negai 寗
negai 甯
negai 願
negau 僥
negau 尚
negau 懩
negau 覦
negau 願
negi 芤
negi 葱
negi 蔥
negirau 労
negirau 勞
negirau 犒
negoto 囈
negoto 寱
negoto 讆
negoto 讏
negura 塒
negura 窼
neguruma 輬
neguruma 輭
nei 矃
neiki 屃
neiki 屓
neiki 齃
neiru 寎
neji 捩
nejikeru 拗
nejiki 棙
nejimawasu 扭
nejiri 錑
nejiru 捩
nejiru 攦
nejiru 棙
nekirimushi 蟊
neko 猫
neko 貓
nemoto 啇
nemunoki 棭
nemuri 眠
nemuri 睡
nemuru 哻
nemuru 眠
nemuru 睏
nemuru 睡
nengoro 叮
nengoro 慇
nengoro 懃
nengoro 懇
nengoro 諄
nenjiru 念
nerau 狙
nerau 躵
neriginu 練
neriito 絨
neru 寐
neru 寑
neru 寝
neru 寢
neru 湅
neru 煉
neru 練
neru 錬
neru 鍊
netamu 妎
netamu 妒
netamu 妬
netamu 媔
netamu 媢
netamu 嫉
netamu 嫭
netamu 悋
netamu 猜
neya 閨
nezumi 鼠
nezumi 鼡
nezumimochi 楨
nezumimochi 楰
nezumiotoshi 棝
ni 丹
ni 荷
niarazu 不
nibe 鮸
nibui 嬯
nibui 釰
nibui 鈍
nibui 鈯
nibui 銖
nibui 駑
nibui 駘
niburu 鈍
nie 贄
nie 錵
nieru 煑
nieru 煮
nigai 苦
nigai 酓
nigai 鹶
nigana 荼
nigekamu 齝
nigeru 北
nigeru 迯
nigeru 逃
nigiri 握
nigiri 柲
nigiru 握
nigiwai 賑
nigiwau 賑
nigoi 鮩
nigori 濁
nigoriza 醪
nigoru 墋
nigoru 汰
nigoru 涹
nigoru 淟
nigoru 淰
nigoru 渾
nigoru 溷
nigoru 濁
nigosu 淈
nigosu 濁
nigura 极
niguruma 輺
nigyaka 賑
niha 坻
nii 新
niiniizemi 蛥
niji 虹
niji 蝃
niji 霓
nijimu 泌
nijuu 卄
nijuu 廿
nikawa 膠
nikayou 彿
nikibi 皰
nikibi 靤
niku 腅
niku 膎
nikui 憎
nikumu 垐
nikumu 堲
nikumu 嫉
nikumu 悪
nikumu 憎
nikumu 懀
nikumu 疾
nikumu 醜
nikumu 魗
nikushimi 憎
nina 蜷
nina 螄
nina 螺
nina 蟸
nina 蠡
ninai 插
ninai 揷
ninau 任
ninau 儋
ninau 夯
ninau 担
ninau 擔
ninau 膂
ninau 荷
ninjin 蔘
ninjin 薓
ninniku 葫
ninnyou 儿
nio 鳰
nioi 匂
nioi 殠
nioi 臭
nioi 馛
nioibuku 幃
nioibukuro 幐
niou 匂
niou 胺
nira 韭
nira 韮
niragu 淬
niramu 媢
niramu 盻
niramu 眈
niramu 睨
niramu 矉
nire 楡
nire 榆
niregamu 齝
niru 似
niru 俏
niru 湘
niru 烹
niru 煑
niru 煮
niru 熟
niru 燖
niru 肖
niru 胹
niru 飪
niru 餁
niru 饔
niru 鬺
nise 偐
nise 偽
nise 僞
nise 贋
nise 贗
nisemono 贗
nishi 西
nishidochi 蠁
nishiki 錦
nishikihebi 蚦
nishikimoyou 繝
nishin 鯡
nishin 鰊
nishin 鰜
nitai 儋
niwa 圑
niwa 庭
niwa 廷
niwa 畼
niwaka 俄
niwaka 劦
niwaka 卆
niwaka 卒
niwaka 忩
niwaka 怱
niwaka 悤
niwaka 溘
niwaka 猝
niwaka 遽
niwaka 霍
niwaka 驟
niwakaame 涷
niwakani 勃
niwakaume 瀑
niwatazumi 潦
niwatori 雞
niwatori 鳮
niwatori 鶏
niwatori 鷄
niwaume 棣
niwaume 薁
niwayanagi 萹
niwazakura 棣
no 乃
no 之
no 兮
no 埜
no 壄
no 廼
no 箆
no 篦
no 迺
no 野
nobasu 伸
nobasu 廴
nobasu 延
nobasu 抻
nobasu 捵
nobasu 衦
noberu 偱
noberu 叙
noberu 展
noberu 序
noberu 抒
noberu 抻
noberu 掞
noberu 摛
noberu 摴
noberu 攄
noberu 敒
noberu 演
noberu 舒
noberu 述
noberu 陳
nobi 燹
nobiru 伸
nobiru 夤
nobiru 展
nobiru 巹
nobiru 延
nobiru 昶
nobiru 暢
nobiru 洩
nobiru 申
nobiru 畼
nobiru 禹
nobiru 蒜
nobiru 覃
nobiru 鬯
nobirusama 僋
nobori 幟
noboru 上
noboru 升
noboru 埏
noboru 徏
noboru 徝
noboru 斘
noboru 昇
noboru 曻
noboru 歊
noboru 登
noboru 竎
noboru 襄
noboru 躋
noboru 陞
noboru 陟
noboru 隮
noboru 隲
noboru 騰
noboru 龏
nobu 抻
nochi 後
nodo 吭
nodo 咽
nodo 喉
nodo 嗌
nodo 嗓
nodo 噲
nodo 嚥
nodo 嚨
nodo 胭
nodo 臙
nodo 頏
nogan 鴇
nogareru 佚
nogareru 竄
nogareru 逃
nogareru 逋
nogareru 逭
nogareru 遁
nogareru 遯
nogasu 迯
nogasu 逃
nogeitou 葙
nogi 禾
nogi 秒
nogi 芒
nokeshi 蕒
noki 厃
noki 宇
noki 宸
noki 廔
noki 樀
noki 軒
nokiita 牔
nokogiri 鋸
nokogiri 錑
nokogiri 錡
nokogirinooto 銊
nokoru 残
nokoru 殘
nokosu 残
nokosu 遺
nomi 已
nomi 耳
nomi 蚤
nomi 銶
nomi 鐫
nomi 鑿
nomihosu 釂
nominosaki 梂
nomu 吞
nomu 呑
nomu 咰
nomu 哈
nomu 喫
nomu 嗑
nomu 嗢
nomu 嚥
nomu 歠
nomu 阷
nomu 飡
nomu 飮
nomu 飲
nonoshiru 倯
nonoshiru 傌
nonoshiru 僝
nonoshiru 僽
nonoshiru 罵
nonoshiru 訽
nonoshiru 詈
nonoshiru 誶
noori 幖
nooru 椉
nooseru 椉
nori 佱
nori 儀
nori 典
nori 凖
nori 刑
nori 則
nori 卞
nori 埻
nori 帠
nori 式
nori 律
nori 憲
nori 法
nori 準
nori 灋
nori 矩
nori 笵
nori 範
nori 糊
nori 紀
nori 范
nori 蒦
nori 藝
nori 規
nori 詮
nori 象
nori 礼
norimono 馭
norito 祝
noro 獐
noro 麇
noro 麕
noro 麞
norofu 秼
noroi 呪
noroi 咒
noroi 嚩
noroi 駑
noroshi 烽
noroshi 煹
noroshi 熢
noroshi 燧
noroshidai 隧
norou 呪
norou 咒
norou 嚋
norou 祩
norou 詛
norou 詶
norou 譸
noru 乗
noru 乘
noru 宣
noru 搭
noru 淩
noru 載
noru 駕
noru 騎
noru 驀
noseru 乗
noseru 儎
noseru 搭
noseru 攱
noseru 栿
noseru 碊
noseru 載
noseru 馱
noseru 駄
nosu 熨
notamau 宣
notamawaku 曰
notto 浬
notto 節
nottoru 則
nottoru 式
nottoru 楷
nottoru 模
nottoru 法
nou 喃
nou 腦
noumiso 脳
noumiso 腦
nozoki 覗
nozoku 勾
nozoku 覗
nozoku 除
nozomi 望
nozomu 卬
nozomu 忺
nozomu 望
nozomu 歛
nozomu 涖
nozomu 臨
nozomu 莅
nozomu 蒞
nozomu 覦
nozomu 覬
nozomu 闞
nude 橳
nue 鵺
nue 鵼
nugeru 脫
nugeru 脱
nugu 脫
nugu 脱
nugu 褪
nugu 駘
nuguhu 幯
nuguu 拭
nuguu 揩
nuguu 撇
nuguu 撨
nuhitorioshitanameshigaha 鞼
nui 黹
nuikagiri 緎
nuime 縫
nuime 襵
nuitori 綉
nuitori 繍
nuitori 繡
nuka 穅
nuka 粇
nuka 粳
nuka 糠
nuka 糩
nukamiso 粏
nukarami 埿
nukari 垬
nukaru 倥
nukaru 垬
nukaru 濘
nukazuku 頓
nukegara 蛻
nukegara 蜕
nukeru 拔
nukeru 脫
nukeru 脱
nukiashi 蹐
nukinderu 擢
nuku 扎
nuku 扒
nuku 抍
nuku 抜
nuku 抽
nuku 拔
nuku 挺
nuku 揠
nuku 搴
nuku 撛
nuku 楕
nuku 繹
numa 垈
numa 沼
nume 絖
nume 纊
nunawa 蒓
nunawa 蓲
nunawa 蓴
nuno 布
nuno 幊
nuno 幛
nuno 絧
nuno 緦
nunoito 纑
nunoko 褐
nunoko 褞
nunoko 褹
nureginu 冤
nureginu 寃
nureru 濡
nureru 鈓
nureru 需
nuru 圬
nuru 埿
nuru 塈
nuru 塓
nuru 塗
nuru 墍
nuru 墐
nuru 搠
nuru 杇
nurude 栲
nurumayu 洏
nurumayu 涗
nurumayu 涚
nusa 幣
nushi 主
nusumi 盗
nusumimiru 睇
nusumimiru 睊
nusumimiru 睒
nusumimiru 瞧
nusumu 偷
nusumu 偸
nusumu 婾
nusumu 媮
nusumu 攘
nusumu 盗
nusumu 盜
nusumu 窃
nusumu 竊
nuta 垈
nuu 摓
nuu 紕
nuu 緙
nuu 縫
nuu 襵
nuu 黹
nyou 矃
o 小
o 尾
o 緒
o 緖
o 苧
o 阿
o 雄
oba 姑
oba 姨
oba 娣
obashima 檻
obi 带
obi 帯
obi 帶
obi 緄
obi 褵
obidama 佩
obidama 珮
obidome 鐍
obieru 哼
obieru 寎
obieru 寣
obieru 怯
obiru 佩
obiru 带
obiru 帯
obiru 帶
obitada 夥
obiyaakasu 脋
obiyakasu 劫
obiyakasu 愶
oboeru 憶
oboeru 覚
oboeru 覺
obooeru 覐
oboreru 墊
oboreru 没
oboreru 湎
oboreru 溺
oboreru 闝
oboro 曨
oboro 朦
oboro 朧
obosu 恖
obyakasu 刧
obyakasu 剽
obyakasu 脅
ochi 埝
ochi 逺
ochi 遠
ochiba 蘀
ochibureru 凋
ochiiru 墊
ochiiru 陥
ochiiru 陷
ochikomuoto 鉿
ochiru 僨
ochiru 堕
ochiru 墜
ochiru 墮
ochiru 廢
ochiru 抎
ochiru 殞
ochiru 磒
ochiru 落
ochiru 襰
ochiru 陏
ochiru 隋
ochiru 隕
ochiru 隤
ochiru 零
ochiru 鬌
ochitsukanu 儰
ochitsuku 廮
ochitsuku 闟
odateru 煽
odayaka 妥
odayaka 怗
odayaka 稳
odayaka 穏
odayaka 穩
oderu 稺
odokasu 脅
odoke 諢
odokeru 詼
odoosu 脋
odori 踊
odorokasu 驚
odoroki 矍
odoroku 傽
odoroku 咢
odoroku 啐
odoroku 噩
odoroku 寱
odoroku 忪
odoroku 愕
odoroku 戃
odoroku 戄
odoroku 眒
odoroku 鄂
odoroku 駭
odoroku 駴
odoroku 驚
odoru 甬
odoru 趟
odoru 跳
odoru 踉
odoru 踊
odoru 踴
odoru 躍
odoshi 縅
odosu 吓
odosu 嗋
odosu 嚇
odosu 威
odosu 縅
odosu 脅
odosu 詾
oeru 終
ogamu 拜
ogamu 拝
ogara 蒸
ogawa 濚
ogawa 瀅
ogawa 瀯
ogi 荻
ogi 菼
ogi 萑
ogi 蒹
ogi 蔐
oginau 補
oginau 裨
oginau 靪
ogoranai 匎
ogori 賖
ogoriiru 夋
ogoru 伳
ogoru 侈
ogoru 侉
ogoru 倨
ogoru 傏
ogoru 傲
ogoru 僣
ogoru 僭
ogoru 夸
ogoru 奓
ogoru 奢
ogoru 媻
ogoru 嫚
ogoru 怚
ogoru 慠
ogoru 慢
ogoru 敖
ogoru 汰
ogoru 泰
ogoru 賖
ogoru 驁
ogoru 驕
ogorusama 姱
ogosoka 儼
ogosoka 厳
ogosoka 嚴
ogosoka 荘
ogosoka 莊
ogosokanasama 噩
ohatsutenerafu 弙
ohitsuji 羘
ohitsuji 羝
ohitsuku 僆
ohoari 螕
ohoban 鑡
ohohi 幠
ohohi 幭
ohohu 幠
ohohu 廕
ohokii 垺
ohokumonoifu 譞
ohosuki 鐯
oi 姪
oi 甥
oi 笈
oi 老
oibore 旄
oiboreru 吂
oiboreru 耄
oiru 老
oiru 耆
oiru 耇
oiru 耈
oiru 耉
oite 於
oitsuku 馺
oiyakasu 刦
oji 叔
ojigi 禮
ojika 麌
ojiru 怖
ojiru 怯
oka 丘
oka 丠
oka 冢
oka 坏
oka 坯
oka 坵
oka 堁
oka 堈
oka 塔
oka 壔
oka 壣
oka 岡
oka 崗
oka 邱
oka 阜
oka 陵
oka 陸
oka 隴
okasu 侵
okasu 倰
okasu 冐
okasu 冒
okasu 奸
okasu 干
okasu 忓
okasu 敯
okasu 犯
okawa 楲
oke 桶
oke 槽
okera 枹
oki 冲
oki 沖
oki 澚
oki 澳
okina 傁
okina 叟
okina 翁
okiru 興
okiru 起
okite 掟
okite 法
okitsuchi 埇
okonau 行
okori 疥
okori 痁
okori 痎
okori 瘧
okoru 勃
okoru 噁
okoru 嫳
okoru 彂
okoru 怒
okoru 浡
okoru 煽
okoru 発
okoru 興
okoru 艴
okoru 起
okoshi 粰
okoshi 糤
okoshi 糫
okoshi 饊
okoshi 馓
okosu 廞
okosu 慉
okosu 興
okotaru 伿
okotaru 倯
okotaru 儽
okotaru 冘
okotaru 媠
okotaru 媷
okotaru 嫚
okotaru 嬾
okotaru 寙
okotaru 怠
okotaru 惰
okotaru 慢
okotaru 懈
okotaru 懶
okoze 鰧
oku 剚
oku 厝
oku 壸
oku 壼
oku 奥
oku 奧
oku 寘
oku 居
oku 嶴
oku 措
oku 擱
oku 置
oku 錯
okubi 噫
okubukai 賾
okubukai 邃
okugaki 跋
okuhukai 窵
okumi 衽
okumi 袵
okureru 夂
okureru 後
okureru 遅
okureru 遟
okureru 遲
okuri 送
okuribito 媵
okurime 媵
okurimono 餼
okurina 諡
okurina 謚
okuru 僦
okuru 媵
okuru 帰
okuru 皈
okuru 貽
okuru 賵
okuru 賻
okuru 贈
okuru 輸
okuru 送
okuru 餫
okuru 餽
okuru 饁
okuru 饋
okusuru 臆
okute 稺
okute 穜
okuzashiki 寑
omaru 楲
omi 臣
omikuji 讖
omo 主
omo 面
omo 靣
omodaka 藚
omoeraku 恖
omogai 羇
omogai 羈
omogai 覉
omogai 覊
omogai 鍚
omogai 靻
omogai 鞚
omoi 倕
omoi 思
omoi 想
omoi 意
omoi 輊
omoi 重
omoi 騺
omoi 驇
omokage 俤
omomuki 况
omomuki 情
omomuki 概
omomuki 槪
omomuki 況
omomuki 趣
omomuku 赴
omomuku 趣
omomuku 趨
omomuro 娜
omomuro 徐
omomuro 邌
omonerikumisuru 傰
omoneru 佞
omoneru 侫
omoneru 阿
omonpaka 慮
omonpaka 虞
omoou 恖
omori 権
omori 權
omori 錘
omote 表
omote 面
omote 靣
omou 以
omou 佁
omou 侖
omou 忇
omou 念
omou 思
omou 怤
omou 恁
omou 悕
omou 惟
omou 想
omou 意
omou 憶
omou 懐
omou 懯
omou 諰
omou 謂
omouni 惟
omutsu 褓
on 御
onagasaru 禺
onaji 仝
onaji 仵
onaji 同
onaji 詷
onamomi 葹
oni 祙
oni 鬼
oni 魕
onibi 燐
onihirugusa 菪
oniyarai 儺
onna 女
onna 娪
onna 婦
onnanoazana 孁
ono 斤
ono 斧
ono 鈇
ono 錍
ononoku 慄
ononoku 戦
ononoku 栗
onoono 各
onore 己
onozukara 自
ooari 蚍
oobako 薘
ooban 鉼
oobone 軱
oodate 櫓
oogama 釤
oogama 鬵
oogame 鰲
oogame 鼇
oogane 鑮
oogoe 唪
oogoto 瑟
oohamaguri 蜃
oohari 鈹
oohige 髥
ooi 众
ooi 傇
ooi 僔
ooi 冪
ooi 啴
ooi 嘽
ooi 多
ooi 夠
ooi 夡
ooi 套
ooi 巾
ooi 庰
ooi 汪
ooi 溱
ooi 甧
ooi 眾
ooi 稠
ooi 笰
ooi 羃
ooi 苠
ooi 蓁
ooi 蔽
ooi 藹
ooi 衆
ooi 覆
ooi 輨
ooi 閦
ooi 陾
ooi 駪
ooi 鬒
ooikakusu 侜
ooini 大
ooini 祁
ooinuno 幂
ooisama 伾
ookama 鉊
ookami 狼
ookami 猲
ookami 獦
ookii 丕
ookii 价
ookii 佬
ookii 侾
ookii 俁
ookii 倬
ookii 傀
ookii 厖
ookii 哆
ookii 啋
ookii 嚭
ookii 夤
ookii 大
ookii 夿
ookii 奃
ookii 奆
ookii 奐
ookii 奕
ookii 奜
ookii 奝
ookii 奯
ookii 奲
ookii 巨
ookii 巸
ookii 懬
ookii 旲
ookii 昄
ookii 晊
ookii 汾
ookii 泰
ookii 浩
ookii 瑰
ookii 碩
ookii 萬
ookii 頇
ookii 頡
ookii 頵
ookii 顒
ookii 駿
ookinakao 顢
ookuchi 哆
ookuchinosama 吧
oomizu 潡
oomune 概
oomune 槪
oomune 率
oonamazu 鮧
oonami 澇
oonira 茘
oonira 荔
oonome 鏓
oonomi 鍯
ooobi 紳
ooriru 夅
oorosu 夅
oose 仰
oose 命
ooshika 麃
ooshika 麅
ooshika 麖
ootade 葒
ootori 凰
ootori 鳯
ootori 鳳
ootori 鴻
ootori 鵬
ootori 鷟
ootsuzumi 鼖
ootsuzumi 鼛
oou 乢
oou 冃
oou 冐
oou 冒
oou 冖
oou 冡
oou 剦
oou 匸
oou 奄
oou 妎
oou 屏
oou 屛
oou 帡
oou 帲
oou 幂
oou 幕
oou 庇
oou 庰
oou 弇
oou 掩
oou 搒
oou 盍
oou 盖
oou 葢
oou 蒙
oou 蓋
oou 蔽
oou 薈
oou 藾
oou 被
oou 襾
oou 覆
oowa 輮
ooyake 伀
ooyake 公
ooyake 官
ooyamadori 鷮
oozara 盤
oozaru 玃
oozaru 蠼
oozaru 貜
oozuna 紘
oozuna 綋
oozuna 纮
oozutsu 熕
oozutsu 砲
ore 俺
oreru 抈
oreru 折
oretaki 柆
ori 垽
ori 壂
ori 柙
ori 槞
ori 機
ori 檻
ori 渣
ori 滓
ori 澱
ori 牿
ori 窂
ori 苙
ori 阺
oriamari 繢
oriru 降
orochi 蟒
orochi 蠎
oroka 侄
oroka 侗
oroka 倜
oroka 傋
oroka 儑
oroka 呆
oroka 唭
oroka 嚚
oroka 婄
oroka 媸
oroka 怐
oroka 惛
oroka 愗
oroka 愚
oroka 憃
oroka 憨
oroka 懝
oroka 戇
oroka 朏
oroka 梼
oroka 檮
oroka 沌
oroka 獃
oroka 疙
oroka 痬
oroka 痴
oroka 瘒
oroka 癡
oroka 蚩
oroka 駘
oroka 騃
oroka 魯
orokadeshinaotsukuru 孈
orokanasama 佁
orokanasama 倲
orokanasama 僋
oroshi 卸
oroshi 缷
oroshi 颪
orosu 卸
orosu 缷
oru 佴
oru 凥
oru 処
oru 宋
oru 居
oru 抈
oru 折
oru 攦
oru 綑
oru 織
oru 處
osa 令
osa 伯
osa 佰
osa 兏
osa 尹
osa 師
osa 筬
osa 簆
osa 綜
osa 酋
osa 長
osa 镸
osae 鎮
osaeru 制
osaeru 压
osaeru 圧
osaeru 壓
osaeru 娖
osaeru 尉
osaeru 扼
osaeru 抑
osaeru 押
osaeru 按
osaeru 搙
osaeru 搵
osaeru 撙
